,clf,clf__logistic__C,clf__logistic__max_iter,clf__logistic__penalty,clf__logistic__solver,clf__forest__max_depth,clf__forest__min_samples_leaf,clf__forest__min_samples_split,clf__forest__n_estimators,mean_test_neg_log_loss,std_test_neg_log_loss,mean_test_roc_auc,std_test_roc_auc,mean_test_brier,std_test_brier
5,v3.1-optb-logit,0.007742636826811269,5000.0,l2,saga,,,,,-0.09091361779819887,0.04611529743482672,0.9917774950080546,0.014767409750643007,-0.020050804364006344,0.013857529119191149
73,rf_classifier,,,,,10.0,4.0,10.0,200.0,-0.2597403957530998,0.28431012722666404,0.9892718072722371,0.010252285809239956,-0.02805240639387167,0.018578373038540763
